id,English name,Birthright,Conquest,Revelation,isChild,class,birthday day,birthday month,description
Avatar (M),Corrin (M),1,1,1,0,Nohr Prince,,,"A prince raised in Nohr after being abducted from Hoshido as a child. Can change into a dragon and wield the sacred blade, Yato. He is well liked by all. Has the most hidden potential."
Avatar (F),Corrin (F),1,1,1,0,Nohr Princess,,,"A prince/princess raised in Nohr after being abducted from Hoshido as a child. Can change into a dragon and wield the sacred blade, Yato. She is well liked by all. Has the most hidden potential."
Azura,Azura,1,1,1,0,Songstress,3,3,"A princess raised in Hoshido after being taken hostage in exchange for the Avatar. Secretive and hides her emotions, but kind and wise. Her songs help her allies on the battlefield. A restless sleeper."
Gunter,Gunter,1,1,1,0,Great Knight,13,6,A Nohrian knight of middling birth who reached his rank on talent and discipline. He now serves as the Avatar's retainer. He is exceedingly hard on himself and others. Has no sense of humor.
Felicia,Felicia,1,1,1,0,Maid,19,2,"One of the Avatar's Ice Tribe retainers, along with her sister, Flora. A hard worker and skilled combatant, but clumsy and prone to breaking things, which upsets her. The most destructive."
Jakob,Jakob,1,1,1,0,Butler,3,12,"A multitalented Nohrian butler who serves the Avatar at home and on the battlefield. While generally cool toward others, he took a vow of absolute loyalty to the Avatar. Not a morning person."
Kaze,Kaze,1,1,1,0,Ninja,2,10,"A Hoshidan ninja. Unlike his twin brother, Saizo, he has a polite and calm demeanor. He is loyal to his chosen liege, willing to give up his very life. Best-liked member of the army."
Silas,Silas,1,1,1,0,Cavalier,1,11,A newly appointed Nohrian knight of noble birth. Childhood friend of the Avatar. He is both very kind and quite skilled for a man of his age. Worst 'bedhead' in the army.
Shura,Shura,1,1,1,0,Adventurer,21,12,"The leader of a group of thieves in Nohr. Formerly of the sacked city of Kohga in Hoshido. Trained to serve the royal family as a ninja, but forced to survive as a thief. Great at long-distance swimming."
Izana,Izana,1,1,0,0,Onmyoji,29,12,"Archduke of Izumo. Descended from a divine dragon, he is precognitive. Much more relaxed than his appearance suggests, and often surprises his guests. Largest vocabulary in the army."
Mozu,Mozu,1,0,1,0,Villager,6,10,"A daughter of farmers from a small village in Nohr. Lacks confidence, but tries her best to help those around her. Overwhelmed to be near royalty all the time. Has the best survival skills in the army."
Rinkah,Rinkah,1,0,1,0,Oni Savage,5,2,"Daughter of the Flame Tribe's chieftain. Passionate and powerful, she has no patience for 'civilized' rules but fiercely maintains her own tribal traditions. Has the highest body temperature."
Sakura,Sakura,1,0,1,0,Shrine Maiden,9,4,The youngest princess of Hoshido. She has a kind heart and cannot abide suffering. She is surprisingly strong willed for one so painfully shy. The most relaxing to be around.
Hana,Hana,1,0,1,0,Samurai,28,3,"A Hoshidan samurai serving as Sakura's retainer. She is outgoing, boisterous, and among the finest katana wielders in the kingdom due to a punishing practice regimen. Loves cherry blossoms."
Subaki,Subaki,1,0,1,0,Sky Knight,7,2,"Sakura's retainer and a Hoshidan sky knight from a long line of talented knights trained to be perfect. Easygoing, handsome, and skilled. Has impeccably clean hands."
Saizo,Saizo,1,0,1,0,Ninja,2,10,"A Hoshidan ninja who serves Ryoma and is the fifth to carry the Saizo name. He has a younger twin brother, Kaze. Curt and taciturn, but unfailingly loyal. Dislikes sweets more than anyone."
Orochi,Orochi,1,0,1,0,Diviner,19,6,"A Hoshidan diviner who served the late Mikoto. Her parents were also royal diviners, so she visited the castle often from a young age. She has a cheerful, playful personality. Laughs more than anyone."
Hinoka,Hinoka,1,0,1,0,Sky Knight,18,8,"Eldest princess of Hoshido, and someone who literally takes the defense of her kingdom into her own hands. She is a powerful warrior and a skilled flier. The best at looking out for others."
Azama,Azama,1,0,1,0,Monk,8,9,"A Hoshidan monk who serves Hinoka. Born at a small shrine, and made pilgrimages to holy mountains in training. He is aloof, acerbic, and philosophical. Cries less than anyone in the army."
Setsuna,Setsuna,1,0,1,0,Archer,20,5,"A Hoshidan archer and retainer to Hinoka. She is known to be a little dreamy and inattentive to her surroundings, with a particular tendency to fall into traps. The most flexible and limber."
Hayato,Hayato,1,0,1,0,Diviner,19,9,"An orphan from the Wind Tribe raised by their chief, Fuga. He is a magical prodigy, but baby-faced and overcompensates with high-handed speech. Sensitive about his height."
Oboro,Oboro,1,0,1,0,Spear Fighter,28,11,"A spear fighter from Hoshido who serves Takumi. Her family ran a tailor shop until her parents were killed by Nohrians, leading her to swear revenge. Still loves fashion. The quickest at getting changed."
Hinata,Hinata,1,0,1,0,Samurai,10,5,"A Hoshidan samurai from a long line serving the royal family. Like his liege, Takumi, he's a bit coarse and quick to get into a fight, but he's honest and optimistic. Likes wide open fields."
Takumi,Takumi,1,0,1,0,Archer,14,12,"A Hoshidan prince who wields the legendary Fujin Yumi. An emotional young man who seeks attention. While a bit tempestuous, he's very kind to people he trusts. Has the worst nightmares."
Kagero,Kagero,1,0,1,0,Ninja,26,7,A ninja from Hoshido and Ryoma's retainer. She is serious and loyal to a fault. Has been best friends with Orochi since childhood. Keeps a diary illustrated with her own paintings.
Reina,Reina,1,0,1,0,Kinshi Knight,7,11,"A Hoshidan knight who served the late Mikoto. She is mature, gentle, and elegant, but has an unnerving obsession with death and the causing thereof. The best listener in the army."
Kaden,Kaden,1,0,1,0,Kitsune,12,7,"A Hoshidan kitsune who serves as village chief. For good or ill, he's very trusting and will always repay a kindness. Obsessed with his own beauty, he constantly combs his fur. Has the best posture."
Ryoma,Ryoma,1,0,1,0,Swordmaster,1,5,"The high prince of Hoshido and wielder of the legendary Raijinto. He follows the Bushido code and is quite hard on himself, much like his late father, Sumeragi. The worst at knowing when to quit."
Scarlet,Scarlet,1,0,1,0,Wyvern Lord,3,8,"A hearty resistance fighter from Cheve. Born to a family of knights, but organized a resistance when she couldn't tolerate Nohrian oppression any longer. Likes shiny things more than anyone else."
Yukimura,Yukimura,1,0,1,0,Mechanist,28,4,"Hoshidan strategist and retainer to the late Mikoto. He is mild and serious, but extremely diligent in his work. Likes to read and make gadgets in his spare time. Keeps accidentally breaking his glasses."
Kana (M),Kana (M),1,0,1,1,Nohr Prince,19,4,"The Avatar's son, raised in the Deeprealms. Loves his mother more than anyone else and wants to be like her. Usually cheerful, but often feels lonely and cries. Enjoys being a dragon."
Kana (F),Kana (F),1,0,1,1,Nohr Princess,19,4,"The Avatar's daughter, raised in the Deeprealms. Loves her father more than anyone else and wants to be like him. Usually cheerful, but often feels lonely and cries. Enjoys being a dragon."
Shigure,Shigure,1,0,1,1,Sky Knight,6,6,"Azura's son, raised in the Deeprealms. Like his mother, sings beautifully. Also likes to draw. While mild and kind, he can also be a bit temperamental. Quite fond of heights."
Dwyer,Dwyer,1,0,1,1,Troubadour,16,11,"Jakob's son, raised in the Deeprealms. Doesn't like work, but might be even more accomplished in the butlery arts than his father (much to Jakob's chagrin). Has the most hidden talents."
Sophie,Sophie,1,0,1,1,Cavalier,21,7,"Silas's daughter, raised in the Deeprealms. Practices hard to be a great knight like her father, but her horse, Avel, just won't listen to her. Eternally optimistic regardless. Often talks to herself."
Midori,Midori,1,0,1,1,Apothecary,17,5,"Kaze's daughter, raised in the Deeprealms. Bright, enthusiastic, and well mannered, she enjoys inventing and brewing medicines in her free time. Has the sharpest sense of taste in the army."
Shiro,Shiro,1,0,1,1,Spear Fighter,22,8,"Ryoma's son, raised in the Deeprealms. Thinks of his father as both role model and rival. Friendly, but intensely competitive. Sometimes gets in over his head. Great at arm wrestling."
Kiragi,Kiragi,1,0,1,1,Archer,4,7,"Takumi's son, raised in the Deeprealms. Enjoys hunting, but also is enthusiastic about life in general. Seems to have endless stamina and optimism. Has the sharpest eyes in the army."
Asugi,Asugi,1,0,1,1,Ninja,1,1,"Saizo's son, raised in the Deeprealms. Unsure about carrying on his father's name. Generally cool, but absolutely obsessed with sweets. Enjoys making them as well. Smells better than anyone."
Selkie,Selkie,1,0,1,1,Kitsune,20,10,"Kaden's daughter, raised in the Deeprealms. Cheerful, noisy, and not at all shy, she is always looking for people (and animals) to play with. The most fearless in the army."
Hisame,Hisame,1,0,1,1,Samurai,27,9,"Hinata's son, raised in the Deeprealms. Thinks of his father as a poor role model. Stubborn, serious, and careful in all things. Loves pickles and tea more than anything. The youngest old man."
Mitama,Mitama,1,0,1,1,Shrine Maiden,26,6,"Azama's daughter, raised in the Deeprealms. Finds her father a bit annoying, though she inherited his acerbic wit. Loves to sleep and write poetry. Thinks more about the sky than anyone."
Caeldori,Caeldori,1,0,1,1,Sky Knight,6,7,"Subaki's daughter, raised in the Deeprealms. Dreams of becoming as perfect as her father, but may have already surpassed him. The most likely to fall head over heels in love."
Rhajat,Rhajat,1,0,1,1,Diviner,1,4,"Hayato's daughter, raised in the Deeprealms. Finds her father childish, but dwells on her own disturbing obsessions. Magically adept but morally questionable. Has the darkest thoughts."
Fuga,Fuga,0,0,1,0,Master of Arms,8,1,Chief of the Wind Tribe and friend of the late King Sumeragi. He is known as a wise leader and brave soldier. Judges others by their abilities and acumen. Children adore him.
Elise,Elise,0,1,1,0,Troubadour,19,3,A playful Nohrian princess whose innocence sometimes lets her see truths that others miss. Loves her siblings to a degree bordering on hero worship. The best at remembering birthdays.
Arthur,Arthur,0,1,1,0,Fighter,24,1,"A local hero from a small town in Nohr, now a retainer for Elise. He has an eccentric obsession with justice matched only by his incredibly poor luck. The most likely to take a bad spill."
Effie,Effie,0,1,1,0,Knight,13,4,"A Nohrian soldier who serves Elise. Gentle and wishes to protect others, which is fortunate because she is strong enough to break armor with her bare hands. Most likely to ask for seconds."
Odin,Odin,0,1,1,0,Dark Mage,15,7,"A dark mage serving Leo in Nohr. Does not talk about his homeland or history, but still talks a great deal. Gives absurd names to his weapons and Ågspecial moves.Åh Most likely to shout ÅgLevel up!Åh"
Niles,Niles,0,1,1,0,Outlaw,22,4,"A Nohrian former thief serving as LeoÅ's retainer. He grew up as an impoverished orphan. Appears relaxed and mature, but flirts with everyone to see them react. Does the most stargazing."
Nyx,Nyx,0,1,1,0,Dark Mage,17,2,"A Nohrian mage preternaturally talented with curses. Cool and composed, she mostly avoids the others. Looks much, much younger than she actually is. Gives the best gifts."
Camilla,Camilla,0,1,1,0,Malig Knight,30,11,"The elder princess of Nohr. An extremely affectionate older sister and mother figure to the Avatar, she is a terror to her enemies in battle. Loves hot springs and baths."
Selena,Selena,0,1,1,0,Mercenary,21,1,"A retainer serving Camilla in Nohr. Her homeland and history are unknown. Strong willed and angry, she will occasionally show a gentle side to those she trusts. The most wasteful shopper."
Beruka,Beruka,0,1,1,0,Wyvern Rider,26,2,"A wyvern knight from Nohr serving Camilla. Born to heartless parents who left her on the streets, she is quiet and unexpressive. Has been an assassin since her youth. Has the highest poison tolerance."
Laslow,Laslow,0,1,1,0,Mercenary,7,8,"A mercenary serving Xander in Nohr. His homeland and history are unknown. A friendly flirt, he is actually quite shy. He aims to be a dancer someday and is quite good. The biggest night owl."
Peri,Peri,0,1,1,0,Cavalier,24,12,"A Nohrian noble serving Xander. Spoiled by her wealthy family, sheÅ's childish and a crybaby who loves combat and bloodshed. No longer allowed to have a butler. The best chef in the army."
Benny,Benny,0,1,1,0,Knight,24,3,"A border guard from Nohr. His intimidating appearance is even scarier for his silence, but really heÅ's just shy and quite gentle. Always carries a charm with him. Most of his friends are bears."
Charlotte,Charlotte,0,1,1,0,Fighter,4,5,"A border guard from Nohr with ambitions to marry above her station. Puts on whatever persona she thinks will make people like her, but favors a cutesy innocent act. The most cynical in the army."
Leo,Leo,0,1,1,0,Dark Knight,30,6,The brilliant prince of Nohr who wields the legendary Brynhildr and is known for his potent magic. He can be quite cruel to his enemies. Objectively loves tomatoes more than anyone else could.
Keaton,Keaton,0,1,1,0,Wolfskin,30,10,"A wolfskin leader from NohrÅ's Mount Garou. Cheerful, sociable, and a little stupid. Loves big bugs and round dust bunnies; avidly collects both. The most easily distracted member of the army."
Xander,Xander,0,1,1,0,Paladin,27,10,"The crown prince of Nohr and wielder of the legendary Siegfried. Gifted military leader. Can seem unapproachable, but is actually kind and personable. Has nice handwriting."
Flora,Flora,0,1,1,0,Maid,19,2,"Along with her twin sister, Felicia, one of the AvatarÅ's Ice Tribe retainers. She is an excellent and thoughtful maid, unlike her sister, but also tends to overthink things. Surprisingly jealous."
Siegbert,Siegbert,0,1,1,1,Cavalier,28,5,"XanderÅ's son, raised in the Deeprealms. Feels inferior to his accomplished father. Educated in many disciplines, but has trouble saying no and gets pushed around because of it. Has the best teeth."
Forrest,Forrest,0,1,1,1,Troubadour,13,3,"LeoÅ's son, raised in the Deeprealms. Drawn to the healing arts by a sense of duty to help those in need. Loves fashion and sewing. The most sympathetic ear in the army."
Ignatius,Ignatius,0,1,1,1,Knight,16,8,"BennyÅ's son, raised in the Deeprealms. Wishes he wasnÅft so weak willed. Treasures the charm his father made to protect him. Much kinder than he looks. Afraid of ghosts and bugs."
Velouria,Velouria,0,1,1,1,Wolfskin,11,10,"KeatonÅ's daughter, raised in the Deeprealms. Loves her father, maybe too much. DoesnÅft express her other feelings well. Picks up everything she finds and keeps much of it. Has the messiest room."
Percy,Percy,0,1,1,1,Wyvern Rider,5,9,"ArthurÅ's son, raised in the Deeprealms. Dreams of becoming a hero like his father, and trains day and night with his dragon, Ace. An earnest, sweet young man. Has astonishingly good luck."
Ophelia,Ophelia,0,1,1,1,Dark Mage,15,9,"OdinÅ's daughter, raised in the Deeprealms. Aspires to be a Ågchosen oneÅh like her father. A dreamer, she has a strong spiritual connection to stars and stones. The best in the army at skipping."
Soleil,Soleil,0,1,1,1,Mercenary,31,8,"LaslowÅ's daughter, raised in the Deeprealms. She is cheerful, is athletic, and adores cute things. She is also a relentless flirt with girls, though she is also attracted to men. The worst singer."
Nina,Nina,0,1,1,1,Outlaw,31,1,"NilesÅ's estranged daughter, raised in the Deeprealms. She is a devoted daydreamer and voyeur, especially when she sees two men together. The worst at talking to members of the opposite sex."